Parts Needed Per Robot,,
Part,Price / each,Link
Motor Shield Board,19.95,https://www.adafruit.com/product/1438
Motors (packaged as pair),4.7,https://www.sparkfun.com/products/13302
,,
Wheels (2x),2.5,https://www.adafruit.com/product/3757
,,
Arduino,24.95,https://www.sparkfun.com/products/11021
Servo,5.36,https://www.adafruit.com/product/169
,,
Drive motor mounts (2x),1.2,https://www.adafruit.com/product/3768
Markers,8.2,https://www.amazon.com/Muji-Mini-Hexagonal-Aqueous-Colors/dp/B015VBWLWC
,,
9V battery switched case,3.95,https://www.adafruit.com/product/67
Caster wheel assembly,1.76,https://www.adafruit.com/product/2942
,,
,,
,,
,,
Misc Other Parts Needed (not necessarily per robot),,
Part,Price / each,Link
Butcher paper,18,https://www.amazon.com/White-Kraft-Paper-Roll-Wrapping/dp/B079YL6RBV
,,
Tiny screwdrivers,1.35,https://www.adafruit.com/product/3284
Acrylic for laser cutter,3.98,https://www.homedepot.com/p/Plaskolite-8-in-x-10-in-x-0-050-in-Polystyrene-Sheet-1S08104A/202043333
,,
USB-A  to B cables,3.56,https://www.adafruit.com/product/62
,,
USB A to C adapter dongles,6.99,https://www.amazon.com/Rankie-2-Pack-Adapter-Hi-speed-Black/dp/B01EL4PVFE
,,
M3 & M2 screws/nuts,0.56,https://www.homedepot.com/p/Everbilt-M3-x-12-mm-Zinc-Plated-Phillips-Pan-Head-Machine-Screw-3-per-Bag-802718/204282659
,,
M3 nuts,0.5,
,,
Scotch tape,9.89,https://smile.amazon.com/Scotch-Refillable-Dispenser-Applications-Engineered/dp/B0000DH8HQ
,,
Zipties,4.58,https://smile.amazon.com/Gardner-Bender-46-104-Electrical-Management/dp/B0009K34B8
,,
9V batteries,,
,,
